simulation_id,timestamp,city,area,hour,day_of_week,is_weekend,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_severity_index,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,traffic_intensity_score,congestion_probability,accident_probability,congestion_occurred,accident_occurred,active_scenarios,scenario_count
1286,2024-03-13 15:00:00,london,Westminster,15,2,0,14.41,98,34.68,79.78,9461,30.03,3630,67.46,4,Low,Damaged,1300.98,0.7641,0.3639,1,1,Heavy Rain|High Humidity|Strong Winds,3
1287,2024-07-17 20:00:00,london,Islington,20,2,0,25.39,36,31.68,71.84,5676,30.59,261,45.08,3,Low,Snowy,120.11,0.7703,0.243,1,0,Heavy Rain|Strong Winds,2
1288,2024-02-04 21:00:00,london,Islington,21,6,1,0.73,81,28.43,14.85,2239,16.57,584,13.89,1,Low,Wet,236.55,0.6244,0.1187,0,0,Heavy Rain|High Humidity,2
1289,2024-04-27 00:00:00,london,Westminster,0,5,1,25.4,91,48.47,31.58,1968,27.81,1407,116.45,9,Medium,Dry,565.12,0.74,0.2951,0,1,Heavy Rain|High Humidity,2
1290,2024-03-14 10:00:00,london,Chelsea,10,3,0,34.93,42,41.58,75.26,7262,40.74,2919,121.53,6,High,Dry,979.27,0.8867,0.4673,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
1291,2024-07-07 02:00:00,london,Southwark,2,6,1,9.48,77,23.0,55.64,10520,21.68,2167,99.38,0,Low,Wet,771.03,0.6754,0.2568,1,0,Heavy Rain|Strong Winds,2
1292,2024-04-07 11:00:00,london,Hackney,11,6,1,31.19,28,37.85,78.61,11669,38.33,1799,43.05,1,Low,Wet,689.43,0.8582,0.2025,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
1293,2024-02-08 10:00:00,london,Westminster,10,3,0,0.26,37,48.15,8.11,9927,18.57,2706,96.18,3,Low,Snowy,1223.8,0.6441,0.3117,1,0,Heavy Rain,1
1294,2024-03-23 04:00:00,london,Hammersmith,4,5,1,17.65,50,48.18,52.76,2060,31.0,1929,20.83,2,Low,Wet,894.04,0.7748,0.1591,0,0,Heavy Rain|Strong Winds,2
1295,2024-01-10 14:00:00,london,Hammersmith,14,2,0,4.89,33,31.7,75.71,8599,28.09,2418,74.43,1,High,Snowy,1058.34,0.7429,0.4814,1,0,Heavy Rain|Strong Winds,2
1296,2024-06-24 03:00:00,london,Southwark,3,0,0,25.95,26,20.48,29.3,688,19.46,3709,29.87,4,Low,Wet,1377.83,0.653,0.1347,1,0,Heavy Rain,1
1297,2024-01-31 21:00:00,london,Islington,21,2,0,10.17,47,15.1,66.31,10604,25.32,4676,76.47,3,Low,Wet,1947.88,0.7133,0.2192,0,0,Strong Winds,1
1298,2024-04-23 09:00:00,london,Southwark,9,1,0,6.99,57,8.34,25.01,5195,10.36,1426,46.39,2,Low,Wet,626.72,0.5657,0.1226,1,0,Normal,0
1299,2024-06-19 03:00:00,london,Kensington,3,2,0,17.6,85,26.99,70.0,7755,22.76,4154,81.48,9,Medium,Damaged,1790.72,0.6866,0.4755,1,0,Heavy Rain|High Humidity|Strong Winds,3
1300,2024-04-02 10:00:00,london,Hammersmith,10,1,0,4.0,26,45.88,44.49,5903,27.13,2049,82.27,4,Medium,Wet,693.47,0.7326,0.3113,1,0,Heavy Rain,1
1301,2024-05-17 23:00:00,london,Westminster,23,4,0,18.77,94,43.12,42.04,9168,29.33,2715,102.26,6,High,Damaged,1160.3,0.7565,0.8,1,1,Heavy Rain|High Humidity,2
1302,2024-06-24 04:35:00,london,Hackney,4,0,0,21.3,59,13.23,40.78,7654,18.58,3402,84.92,0,Medium,Dry,1619.0,0.6442,0.1812,1,0,Normal,0
1303,2024-03-15 09:00:00,london,Southwark,9,4,0,22.58,44,18.4,29.21,4245,14.01,521,57.34,4,Low,Wet,217.1,0.5997,0.1462,1,1,Normal,0
1304,2024-06-25 17:00:00,london,Kensington,17,1,0,1.18,65,2.08,44.0,4049,17.71,2404,80.37,5,Medium,Snowy,843.4,0.6356,0.3403,0,1,Normal,0
1305,2024-05-28 01:00:00,london,Southwark,1,1,0,32.92,68,25.22,65.67,5385,23.94,3396,118.03,3,Medium,Damaged,1425.19,0.6988,0.6992,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
1306,2024-02-19 09:00:00,london,Islington,9,0,0,8.42,94,26.38,60.09,5928,20.24,327,126.59,2,High,Dry,143.2,0.6608,0.3487,1,0,Heavy Rain|High Humidity|Strong Winds,3
1307,2024-04-15 04:00:00,london,Islington,4,0,0,27.84,21,14.13,23.22,6810,14.24,1816,40.42,0,Medium,Snowy,837.65,0.6019,0.223,1,0,Normal,0
1308,2024-03-04 11:00:00,london,Kensington,11,0,0,16.46,67,22.08,40.79,8007,17.42,3074,61.09,9,Low,Snowy,1129.16,0.6327,0.217,0,1,Heavy Rain,1
1309,2024-01-07 12:00:00,london,Hackney,12,6,1,40.0,68,32.85,14.95,2769,21.56,3926,103.42,8,Low,Snowy,1723.12,0.6742,0.3557,1,1,Heavy Rain|Temperature Extremes,2
1310,2024-02-25 12:00:00,london,Kensington,12,6,1,-3.68,94,25.72,50.84,3850,28.31,1537,27.78,0,High,Snowy,631.91,0.7453,0.335,1,0,Heavy Rain|Temperature Extremes|High Humidity|Strong Winds,4
1311,2024-02-15 09:00:00,london,Camden,9,3,0,10.21,69,6.11,50.57,1383,13.54,1607,107.88,3,Low,Snowy,633.75,0.5953,0.314,0,1,Strong Winds,1
1312,2024-06-27 21:00:00,london,Kensington,21,3,0,32.96,61,32.39,3.71,3316,19.22,2008,30.29,1,Medium,Snowy,884.06,0.6505,0.2328,1,1,Heavy Rain|Temperature Extremes,2
1313,2024-04-28 08:00:00,london,Westminster,8,6,1,0.42,97,41.43,75.68,5190,36.5,93,60.04,3,Low,Snowy,41.93,0.63,0.3015,0,1,Heavy Rain|High Humidity|Strong Winds,3
1314,2024-04-26 09:00:00,london,Hackney,9,4,0,10.34,75,36.01,70.48,10427,26.68,865,101.63,0,Medium,Damaged,338.71,0.7279,0.6241,0,1,Heavy Rain|Strong Winds,2
1315,2024-05-17 10:00:00,london,Westminster,10,4,0,14.4,39,5.72,67.12,8782,16.0,4554,78.44,0,Medium,Dry,1923.45,0.6189,0.161,1,0,Strong Winds,1
1316,2024-01-03 14:00:00,london,Hackney,14,2,0,-0.53,77,21.49,45.76,3885,23.15,2123,23.01,7,Medium,Dry,996.76,0.6906,0.1213,1,0,Heavy Rain|Temperature Extremes,2
1317,2024-04-15 05:00:00,london,Kensington,5,0,0,27.37,93,25.61,26.78,4449,18.4,1386,36.25,0,High,Wet,560.5,0.6424,0.219,1,0,Heavy Rain|High Humidity,2
1318,2024-05-13 23:00:00,london,Camden,23,0,0,11.65,58,25.57,20.45,1843,15.85,4692,12.13,4,Medium,Snowy,1925.8,0.6174,0.2016,0,0,Heavy Rain,1
1319,2024-01-11 17:00:00,london,Hammersmith,17,3,0,26.84,66,20.25,47.84,9599,22.48,768,21.45,6,Medium,Dry,267.22,0.6837,0.1189,1,0,Heavy Rain,1
1320,2024-02-29 10:00:00,london,Kensington,10,3,0,-4.41,38,41.28,23.28,3246,20.87,4180,29.4,6,Low,Snowy,1835.26,0.6672,0.1842,1,1,Heavy Rain|Temperature Extremes,2
1321,2024-04-17 11:00:00,london,Chelsea,11,2,0,11.61,64,28.59,78.21,9071,24.81,2505,63.77,4,High,Dry,973.06,0.708,0.2056,0,0,Heavy Rain|Strong Winds,2
1322,2024-06-12 21:00:00,london,Hammersmith,21,2,0,22.9,83,46.92,22.65,9904,23.02,1331,18.94,8,High,Damaged,547.13,0.6892,0.3661,1,0,Heavy Rain|High Humidity,2
1323,2024-01-17 14:00:00,london,Westminster,14,2,0,17.04,63,42.66,47.04,10468,28.86,2605,24.77,5,Low,Damaged,1244.65,0.7513,0.2603,0,0,Heavy Rain,1
1324,2024-01-22 05:00:00,london,Hammersmith,5,0,0,24.6,78,44.43,44.38,6251,25.54,2921,70.98,1,Medium,Dry,1154.62,0.7157,0.181,1,0,Heavy Rain,1
1325,2024-04-26 09:00:00,london,Hackney,9,4,0,10.34,75,36.01,70.48,10427,32.8,865,116.68,0,Medium,Damaged,364.07,0.7949,0.8,1,0,Heavy Rain|Strong Winds,2
1326,2024-02-08 07:00:00,london,Westminster,7,3,0,27.37,79,1.33,68.12,10936,24.35,3461,79.79,1,Low,Snowy,1114.93,0.7031,0.2965,1,0,Strong Winds,1
1327,2024-01-27 00:00:00,london,Islington,0,5,1,27.5,96,1.69,75.3,10019,23.08,54,85.91,8,Medium,Wet,25.29,0.4628,0.2999,1,0,High Humidity|Strong Winds,2
1328,2024-04-13 04:00:00,london,Camden,4,5,1,33.3,27,16.34,1.47,3195,11.41,415,90.44,3,Medium,Damaged,181.9,0.5754,0.4078,0,1,Temperature Extremes,1
1329,2024-05-19 13:42:00,london,Westminster,13,6,1,29.2,54,12.36,57.56,6094,19.56,3082,27.4,2,Medium,Wet,1119.53,0.6539,0.1731,1,0,Strong Winds,1
1330,2024-03-20 23:00:00,london,Camden,23,2,0,21.07,39,15.35,21.87,3514,10.06,257,32.08,6,Low,Dry,87.91,0.5273,0.0736,0,0,Normal,0
1331,2024-03-09 17:00:00,london,Hammersmith,17,5,1,33.65,73,44.06,12.01,11099,21.08,3021,105.1,0,Medium,Damaged,1264.03,0.6693,0.5823,1,1,Heavy Rain|Temperature Extremes,2
1332,2024-06-25 17:00:00,london,Kensington,17,1,0,1.18,65,2.08,44.0,4049,14.22,2404,94.25,5,Medium,Snowy,1132.52,0.6017,0.3618,1,1,Normal,0
1333,2024-04-27 00:00:00,london,Westminster,0,5,1,25.4,91,48.47,31.58,1968,27.88,1407,115.64,9,Medium,Dry,554.12,0.7407,0.2931,0,0,Heavy Rain|High Humidity,2
1334,2024-07-10 22:00:00,london,Kensington,22,2,0,24.36,58,7.27,69.98,8119,21.52,892,12.89,1,High,Snowy,343.54,0.6738,0.2793,0,1,Strong Winds,1
1335,2024-03-20 23:00:00,london,Camden,23,2,0,21.07,39,15.35,21.87,3514,11.68,257,31.91,6,Low,Dry,108.72,0.5779,0.0765,1,0,Normal,0
1336,2024-06-23 16:00:00,london,Hackney,16,6,1,31.19,39,11.15,0.31,5672,7.41,4403,70.52,5,High,Dry,1924.6,0.5393,0.1494,0,0,Temperature Extremes,1
1337,2024-02-17 00:00:00,london,Hammersmith,0,5,1,6.28,40,33.89,19.29,5342,19.94,493,26.44,4,Low,Damaged,197.74,0.6578,0.2226,1,0,Heavy Rain,1
1338,2024-04-13 04:00:00,london,Hammersmith,4,5,1,33.3,27,16.34,1.47,4278,9.68,457,101.95,5,Low,Wet,208.83,0.5596,0.2023,1,0,Temperature Extremes,1
1339,2024-03-18 22:00:00,london,Hackney,22,0,0,17.28,99,48.99,16.52,5903,16.67,1615,21.91,6,Low,Damaged,568.96,0.6254,0.2038,1,1,Heavy Rain|High Humidity,2
1340,2024-02-26 10:00:00,london,Hammersmith,10,0,0,8.45,49,47.05,16.93,10189,19.52,3210,102.28,0,High,Wet,1219.62,0.6536,0.4053,1,0,Heavy Rain,1
1341,2024-01-19 20:00:00,london,Southwark,20,4,0,3.87,43,26.31,63.68,9134,21.81,1915,55.68,5,Low,Snowy,871.36,0.6768,0.2263,0,0,Heavy Rain|Strong Winds,2
1342,2024-04-27 17:00:00,london,Hackney,17,5,1,11.47,31,11.69,0.75,2774,3.83,2419,97.41,5,Medium,Damaged,943.95,0.5085,0.3571,1,0,Normal,0
1343,2024-01-01 00:00:00,london,Westminster,0,0,0,6.14,67,14.11,10.26,1684,9.29,885,94.28,4,Medium,Snowy,362.05,0.5561,0.3216,1,0,Normal,0
1344,2024-06-02 06:00:00,london,Westminster,6,6,1,15.58,29,8.8,57.39,5733,16.36,2989,75.19,9,Medium,Snowy,1411.06,0.6224,0.3145,1,0,Strong Winds,1
1345,2024-01-07 12:00:00,london,Hackney,12,6,1,40.0,68,32.85,14.95,2769,20.6,3926,110.66,8,Low,Snowy,1566.5,0.6645,0.3752,0,0,Heavy Rain|Temperature Extremes,2
1346,2024-04-01 03:00:00,london,Westminster,3,0,0,25.32,72,0.39,34.81,4741,13.75,755,68.84,6,Medium,Damaged,312.86,0.5973,0.3493,1,0,Normal,0
1347,2024-07-05 02:00:00,london,Kensington,2,4,0,10.44,22,24.59,12.72,1757,11.02,1518,115.83,8,Low,Dry,558.59,0.5718,0.1601,1,0,Heavy Rain,1
1348,2024-01-31 21:00:00,london,Islington,21,2,0,10.17,47,15.1,66.31,10604,24.65,4676,82.6,3,Low,Wet,1820.42,0.7063,0.2298,1,0,Strong Winds,1
1349,2024-04-03 16:00:00,london,Hackney,16,2,0,6.65,65,36.97,58.82,2235,24.01,2596,13.69,7,Low,Snowy,879.47,0.6996,0.1834,1,0,Heavy Rain|Strong Winds,2
1350,2024-05-13 16:00:00,london,Camden,16,0,0,4.93,64,20.26,34.76,7071,14.5,4238,35.34,4,Low,Dry,1571.37,0.6044,0.0834,0,0,Heavy Rain,1
1351,2024-01-17 20:00:00,london,Chelsea,20,2,0,19.09,63,7.77,13.2,7639,5.75,1535,80.69,8,Medium,Damaged,672.23,0.5248,0.3197,0,1,Normal,0
1352,2024-02-11 22:00:00,london,Hackney,22,6,1,15.43,26,12.52,4.0,3003,4.13,2588,75.56,2,High,Damaged,974.13,0.511,0.3574,0,1,Normal,0
1353,2024-04-20 16:00:00,london,Southwark,16,5,1,20.17,64,21.82,34.75,3413,17.73,1265,42.15,5,Low,Damaged,588.67,0.6358,0.2342,1,1,Heavy Rain,1
1354,2024-06-18 09:00:00,london,Hackney,9,1,0,1.63,44,15.71,12.41,7721,14.15,1517,14.87,7,Low,Snowy,679.11,0.6011,0.1504,1,0,Normal,0
1355,2024-02-20 17:00:00,london,Southwark,17,1,0,14.99,31,14.92,50.91,6797,18.54,3003,72.68,1,Medium,Snowy,1338.29,0.6438,0.3214,0,0,Strong Winds,1
1356,2024-04-11 11:00:00,london,Hackney,11,3,0,29.16,36,30.48,15.33,10171,15.46,4143,68.95,6,Medium,Snowy,1833.41,0.6136,0.2907,1,0,Heavy Rain,1
1357,2024-01-23 01:00:00,london,Chelsea,1,1,0,5.19,50,47.07,51.55,6726,24.27,3664,76.65,1,Medium,Dry,1576.28,0.7023,0.1867,0,0,Heavy Rain|Strong Winds,2
1358,2024-06-10 15:00:00,london,Kensington,15,0,0,-3.18,87,8.24,24.47,7453,12.69,576,94.09,4,High,Snowy,186.87,0.5873,0.4293,0,1,Temperature Extremes|High Humidity,2
1359,2024-03-26 03:00:00,london,Chelsea,3,1,0,16.27,65,4.33,25.25,9792,6.45,2455,49.36,4,Low,Wet,892.78,0.5309,0.1133,0,0,Normal,0
1360,2024-02-04 21:00:00,london,Islington,21,6,1,0.73,81,28.43,14.85,2239,14.67,584,13.82,1,Low,Wet,228.14,0.606,0.1138,0,0,Heavy Rain|High Humidity,2
1361,2024-02-01 02:00:00,london,Islington,2,3,0,28.3,39,36.89,52.53,10877,29.99,3039,74.31,5,High,Dry,1040.16,0.7637,0.2483,0,0,Heavy Rain|Strong Winds,2
1362,2024-02-08 04:00:00,london,Hammersmith,4,3,0,-4.43,40,30.17,61.77,3700,27.57,3744,82.81,3,High,Wet,1324.26,0.7374,0.3882,0,1,Heavy Rain|Temperature Extremes|Strong Winds,3
1363,2024-06-25 18:00:00,london,Hackney,18,1,0,7.92,65,21.77,49.86,7885,22.7,947,69.22,6,Medium,Snowy,318.81,0.686,0.3378,1,0,Heavy Rain,1
1364,2024-02-01 07:00:00,london,Hammersmith,7,3,0,20.26,37,2.27,13.04,5004,4.98,1067,14.35,8,Medium,Wet,462.01,0.5182,0.116,0,0,Normal,0
1365,2024-02-04 03:00:00,london,Camden,3,6,1,6.0,74,24.06,48.13,1976,23.51,1253,110.13,7,High,Wet,557.72,0.6943,0.4736,1,1,Heavy Rain,1
1366,2024-05-06 02:00:00,london,Chelsea,2,0,0,0.06,70,28.81,38.94,6865,20.17,2744,110.05,5,High,Dry,988.9,0.6602,0.2958,1,0,Heavy Rain,1
1367,2024-02-25 05:00:00,london,Southwark,5,6,1,10.08,52,21.08,8.01,10854,11.08,3369,27.24,3,Medium,Snowy,1201.46,0.5724,0.1912,0,0,Heavy Rain,1
1368,2024-06-25 18:00:00,london,Hackney,18,1,0,7.92,65,21.77,49.86,7885,20.09,947,68.61,6,Medium,Snowy,425.01,0.6593,0.3192,0,0,Heavy Rain,1
1369,2024-03-05 03:00:00,london,Islington,3,1,0,21.05,44,39.18,54.47,6275,27.55,1481,55.99,0,Low,Dry,486.43,0.7371,0.126,0,0,Heavy Rain|Strong Winds,2
1370,2024-03-30 10:00:00,london,Islington,10,5,1,25.89,36,47.16,40.33,8280,26.96,518,106.5,3,Medium,Snowy,174.74,0.7308,0.5268,1,0,Heavy Rain,1
1371,2024-01-25 05:00:00,london,Islington,5,3,0,33.44,96,33.77,79.2,6910,30.18,2179,76.76,0,Medium,Damaged,758.53,0.7657,0.518,1,0,Heavy Rain|Temperature Extremes|High Humidity|Strong Winds,4
1372,2024-06-19 10:00:00,london,Westminster,10,2,0,0.53,60,5.47,6.52,8979,7.18,4147,79.27,8,High,Snowy,1450.35,0.5373,0.3229,1,0,Normal,0
1373,2024-04-12 06:00:00,london,Islington,6,4,0,14.06,33,3.51,16.85,7088,5.01,1222,53.78,9,High,Wet,579.18,0.5185,0.1805,0,1,Normal,0
1374,2024-04-24 19:00:00,london,Kensington,19,2,0,0.29,42,44.7,73.72,6132,32.45,1230,8.49,9,High,Damaged,557.61,0.791,0.4194,1,1,Heavy Rain|Strong Winds,2
1375,2024-05-01 17:00:00,london,Camden,17,2,0,17.03,59,19.37,19.08,6858,12.02,3472,103.09,5,High,Dry,1575.36,0.5811,0.2312,0,0,Normal,0
1376,2024-06-29 19:00:00,london,Westminster,19,5,1,3.2,78,39.74,65.12,3986,31.57,2532,90.46,9,Low,Snowy,939.45,0.7811,0.3731,1,1,Heavy Rain|Strong Winds,2
1377,2024-06-18 07:00:00,london,Kensington,7,1,0,2.99,75,29.88,1.56,7424,12.69,4420,78.62,3,High,Dry,1790.31,0.5873,0.1842,0,0,Heavy Rain,1
1378,2024-06-27 21:00:00,london,Kensington,21,3,0,32.96,61,32.39,3.71,3316,15.67,2008,32.24,1,Medium,Snowy,831.06,0.6156,0.2185,1,0,Heavy Rain|Temperature Extremes,2
1379,2024-03-30 21:00:00,london,Chelsea,21,5,1,-4.54,44,23.74,44.09,6344,21.04,2236,37.21,3,Low,Damaged,873.95,0.6689,0.2421,0,0,Heavy Rain|Temperature Extremes,2
1380,2024-01-22 11:00:00,london,Southwark,11,0,0,15.29,84,48.61,44.52,6396,24.63,1777,73.75,9,High,Wet,842.66,0.706,0.3373,0,0,Heavy Rain|High Humidity,2
1381,2024-02-08 07:00:00,london,Westminster,7,3,0,27.37,79,1.33,68.12,10936,23.19,3461,73.26,1,Low,Snowy,1534.43,0.691,0.2725,1,0,Strong Winds,1
1382,2024-06-25 18:00:00,london,Chelsea,18,1,0,7.92,65,21.77,49.86,7327,20.97,3092,47.06,0,Medium,Snowy,1153.21,0.6683,0.2698,1,0,Heavy Rain,1
1383,2024-01-06 07:00:00,london,Islington,7,5,1,21.57,68,25.39,32.66,10250,19.84,1745,41.59,5,High,Snowy,836.13,0.6568,0.3118,0,1,Heavy Rain,1
1384,2024-04-15 16:00:00,london,Kensington,16,0,0,-4.24,50,10.76,31.77,9401,14.41,425,26.62,0,High,Damaged,199.5,0.6036,0.3171,1,0,Temperature Extremes,1
1385,2024-06-16 07:00:00,london,Southwark,7,6,1,-3.66,43,22.4,63.54,5539,28.89,3062,95.87,6,Low,Snowy,1214.19,0.7517,0.3767,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
1386,2024-05-28 01:00:00,london,Islington,1,1,0,32.92,68,25.22,65.67,8324,34.81,3058,108.09,6,Medium,Snowy,1243.8,0.8176,0.6089,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
1387,2024-01-29 08:59:00,london,Hackney,8,0,0,27.59,30,42.3,16.25,9046,16.72,2428,87.15,2,High,Dry,991.58,0.6259,0.2192,1,0,Heavy Rain,1
1388,2024-05-15 15:00:00,london,Hammersmith,15,2,0,30.88,96,19.4,47.9,7071,20.94,384,87.11,9,High,Dry,140.41,0.6679,0.2389,0,1,Temperature Extremes|High Humidity,2
1389,2024-03-20 22:00:00,london,Islington,22,2,0,-4.01,28,35.65,25.89,7222,19.26,2323,57.8,4,High,Dry,1007.06,0.651,0.1753,0,1,Heavy Rain|Temperature Extremes,2
1390,2024-06-08 13:00:00,london,Kensington,13,5,1,1.94,59,26.44,10.16,4781,16.02,4697,52.61,5,High,Snowy,2228.08,0.619,0.3134,1,0,Heavy Rain,1
1391,2024-03-20 23:00:00,london,Camden,23,2,0,21.07,39,15.35,21.87,3514,9.95,257,32.61,6,Low,Dry,84.26,0.5159,0.0737,1,0,Normal,0
1392,2024-06-27 14:00:00,london,Camden,14,3,0,12.67,49,22.57,71.31,5100,26.82,830,26.26,5,High,Dry,293.12,0.7293,0.162,1,0,Heavy Rain|Strong Winds,2
1393,2024-02-08 10:00:00,london,Westminster,10,3,0,0.26,37,48.15,8.11,9927,18.37,2706,85.79,3,Low,Snowy,924.63,0.6421,0.2799,0,0,Heavy Rain,1
1394,2024-05-25 14:00:00,london,Hammersmith,14,5,1,31.21,42,37.96,12.68,10173,16.07,4521,46.83,1,Medium,Snowy,2167.35,0.6196,0.2434,1,1,Heavy Rain|Temperature Extremes,2
1395,2024-05-28 01:00:00,london,Islington,1,1,0,32.92,68,25.22,65.67,8324,27.42,3058,102.04,6,Medium,Snowy,1141.57,0.7357,0.5079,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
1396,2024-02-25 05:00:00,london,Southwark,5,6,1,21.12,41,47.86,19.14,7873,18.52,3369,26.12,3,Medium,Snowy,1282.45,0.6436,0.2246,0,0,Heavy Rain,1
1397,2024-06-03 17:00:00,london,Westminster,17,0,0,13.46,52,19.69,39.44,1716,16.66,1539,50.31,3,Low,Dry,661.62,0.6253,0.0975,0,0,Normal,0
1398,2024-03-26 09:00:00,london,Westminster,9,1,0,30.23,29,2.4,53.94,6470,20.01,866,34.46,8,Medium,Wet,314.28,0.6585,0.1818,1,0,Temperature Extremes|Strong Winds,2
1399,2024-03-21 17:00:00,london,Westminster,17,3,0,23.55,75,9.71,8.36,3472,8.51,2677,129.33,2,Medium,Wet,1277.42,0.5491,0.3345,0,0,Normal,0
1400,2024-05-23 09:00:00,london,Westminster,9,3,0,19.6,58,45.14,33.66,9220,23.92,4409,87.15,0,Medium,Snowy,1631.95,0.6987,0.4111,0,0,Heavy Rain,1
1401,2024-07-01 07:00:00,london,Camden,7,0,0,-3.04,78,5.62,54.12,6411,17.31,1584,40.06,7,Low,Dry,736.46,0.6316,0.0915,1,0,Temperature Extremes|Strong Winds,2
1402,2024-05-08 03:00:00,london,Westminster,3,2,0,25.83,79,46.06,12.98,9220,22.44,2309,17.11,2,High,Damaged,895.8,0.6832,0.3598,1,0,Heavy Rain,1
1403,2024-02-17 00:00:00,london,Hammersmith,0,5,1,6.28,40,33.89,19.29,5342,14.77,493,29.78,4,Low,Damaged,202.02,0.607,0.2031,0,0,Heavy Rain,1
1404,2024-02-12 12:00:00,london,Hammersmith,12,0,0,27.24,50,39.74,52.42,8815,31.11,1360,52.84,8,Medium,Dry,584.74,0.7761,0.1694,1,0,Heavy Rain|Strong Winds,2
1405,2024-07-02 11:00:00,london,Camden,11,1,0,12.13,58,19.71,65.46,4256,24.69,1484,51.71,4,Low,Damaged,485.34,0.7067,0.2888,0,0,Strong Winds,1
1406,2024-07-05 02:00:00,london,Westminster,2,4,0,10.44,22,24.59,12.72,8493,10.72,2316,82.71,6,High,Damaged,1112.03,0.569,0.4572,1,1,Heavy Rain,1
1407,2024-01-26 04:00:00,london,Westminster,4,4,0,28.7,82,26.11,66.41,9133,31.9,782,79.57,6,High,Snowy,262.21,0.7848,0.5391,1,1,Heavy Rain|High Humidity|Strong Winds,3
1408,2024-02-24 10:00:00,london,Hackney,10,5,1,33.99,80,45.05,15.39,5905,18.58,4968,116.07,2,Medium,Dry,2112.63,0.6441,0.247,1,0,Heavy Rain|Temperature Extremes,2
1409,2024-04-20 09:00:00,london,Hackney,9,5,1,17.49,79,17.06,30.14,4903,15.09,1699,81.65,7,Low,Snowy,679.92,0.6101,0.2505,0,0,Normal,0
1410,2024-01-04 16:34:00,london,Islington,16,3,0,7.88,47,25.39,44.97,3184,21.08,4605,20.43,5,High,Damaged,1786.09,0.6693,0.3547,1,1,Heavy Rain,1
1411,2024-07-06 05:00:00,london,Westminster,5,5,1,22.23,71,13.79,11.43,7757,7.42,3184,52.55,6,Low,Dry,1388.81,0.5394,0.0796,0,0,Normal,0
1412,2024-02-09 19:00:00,london,Islington,19,4,0,29.45,91,34.52,47.85,6724,21.51,604,23.24,6,Low,Snowy,201.74,0.6738,0.181,0,0,Heavy Rain|High Humidity,2
1413,2024-02-06 19:00:00,london,Westminster,19,1,0,-4.35,89,10.21,43.29,8333,16.49,3613,117.12,6,High,Wet,1458.78,0.6236,0.441,0,0,Temperature Extremes|High Humidity,2
1414,2024-06-24 04:35:00,london,Hackney,4,0,0,21.3,59,13.23,40.78,7654,13.03,3402,98.78,0,Medium,Dry,1539.63,0.5904,0.1842,1,0,Normal,0
1415,2024-02-09 22:00:00,london,Chelsea,22,4,0,13.34,77,29.52,8.51,6528,9.76,1127,24.9,3,High,Wet,467.14,0.5603,0.1689,0,0,Heavy Rain,1
1416,2024-02-08 07:00:00,london,Westminster,7,3,0,7.69,27,33.65,72.85,11549,30.22,3461,66.37,1,Low,Snowy,1257.64,0.7662,0.2891,1,0,Heavy Rain|Strong Winds,2
1417,2024-01-13 18:00:00,london,Islington,18,5,1,7.85,37,2.63,47.36,5052,12.28,3595,50.17,2,High,Damaged,1249.7,0.5835,0.3528,1,1,Normal,0
1418,2024-02-03 17:00:00,london,Hackney,17,5,1,16.14,55,29.97,18.39,2975,12.29,2858,9.21,0,Low,Damaged,1116.36,0.5836,0.1777,0,1,Heavy Rain,1
1419,2024-03-09 12:00:00,london,Westminster,12,5,1,-4.6,89,49.84,13.6,4683,24.8,2853,21.5,9,Medium,Damaged,1328.07,0.7079,0.3106,1,0,Heavy Rain|Temperature Extremes|High Humidity,3
1420,2024-02-22 23:00:00,london,Islington,23,3,0,18.12,25,2.39,15.08,8993,6.04,4727,29.41,1,Medium,Damaged,1862.66,0.5274,0.2121,1,0,Normal,0
1421,2024-01-22 12:00:00,london,Islington,12,0,0,-0.6,25,6.41,39.17,7938,16.89,3947,54.71,7,Low,Wet,1367.89,0.6275,0.1523,1,1,Temperature Extremes,1
1422,2024-04-17 06:00:00,london,Southwark,6,2,0,24.41,90,11.67,12.27,5138,10.34,1413,77.28,3,High,Snowy,636.4,0.5656,0.3436,1,0,High Humidity,1
1423,2024-01-22 11:00:00,london,Southwark,11,0,0,15.29,84,48.61,44.52,6396,30.57,1777,68.01,9,High,Wet,808.36,0.7701,0.3543,1,0,Heavy Rain|High Humidity,2
1424,2024-05-25 14:00:00,london,Hammersmith,14,5,1,31.21,42,37.96,12.68,10173,22.47,4521,49.17,1,Medium,Snowy,1787.3,0.6836,0.2823,0,0,Heavy Rain|Temperature Extremes,2
1425,2024-06-02 06:00:00,london,Westminster,6,6,1,15.58,29,8.8,57.39,5733,15.33,2989,75.72,9,Medium,Snowy,1175.51,0.6124,0.3091,0,0,Strong Winds,1
1426,2024-06-08 13:00:00,london,Kensington,13,5,1,20.52,48,32.07,77.43,5592,35.08,4697,51.88,5,High,Snowy,1841.58,0.8207,0.4405,1,0,Heavy Rain|Strong Winds,2
